#HEADER,2017-06-01 12:42:53, Logfile newly created as 'background-darkness-CPM.log'
#LOGGING with cycle 3.0 sec, and mode 'CPM', using device 'GMC-300E Plus v4.20'
    164,2017-06-01 12:51:17, 20
    165,2017-06-01 12:51:20, 19
    166,2017-06-01 12:51:23, 19
    167,2017-06-01 12:51:26, 19
    168,2017-06-01 12:51:29, 18
    169,2017-06-01 12:51:32, 18
    170,2017-06-01 12:51:35, 18
    171,2017-06-01 12:51:38, 16
    172,2017-06-01 12:51:41, 17
    173,2017-06-01 12:51:44, 18
    174,2017-06-01 12:51:47, 17
    175,2017-06-01 12:51:50, 18
    176,2017-06-01 12:51:53, 19
    177,2017-06-01 12:51:56, 18
    178,2017-06-01 12:51:59, 17
    179,2017-06-01 12:52:02, 15
    180,2017-06-01 12:52:05, 16
    181,2017-06-01 12:52:08, 16
    182,2017-06-01 12:52:11, 15
    183,2017-06-01 12:52:14, 17
    184,2017-06-01 12:52:17, 16
    185,2017-06-01 12:52:20, 16
    186,2017-06-01 12:52:23, 18
    187,2017-06-01 12:52:26, 16
    188,2017-06-01 12:52:29, 18
    189,2017-06-01 12:52:32, 20
    190,2017-06-01 12:52:35, 22
    191,2017-06-01 12:52:38, 22
    192,2017-06-01 12:52:41, 22
    193,2017-06-01 12:52:44, 21
    194,2017-06-01 12:52:47, 20
    195,2017-06-01 12:52:50, 19
    196,2017-06-01 12:52:53, 20
    197,2017-06-01 12:52:56, 21
    198,2017-06-01 12:52:59, 20
    199,2017-06-01 12:53:02, 21
    200,2017-06-01 12:53:05, 21
    201,2017-06-01 12:53:08, 22
    202,2017-06-01 12:53:11, 22
    203,2017-06-01 12:53:14, 21
    204,2017-06-01 12:53:17, 24
    205,2017-06-01 12:53:20, 24
    206,2017-06-01 12:53:23, 22
    207,2017-06-01 12:53:26, 22
    208,2017-06-01 12:53:29, 20
    209,2017-06-01 12:53:32, 19
    210,2017-06-01 12:53:35, 20
    211,2017-06-01 12:53:38, 21
    212,2017-06-01 12:53:41, 21
    213,2017-06-01 12:53:44, 22
    214,2017-06-01 12:53:47, 22
    215,2017-06-01 12:53:50, 22
    216,2017-06-01 12:53:53, 21
    217,2017-06-01 12:53:56, 21
    218,2017-06-01 12:53:59, 22
    219,2017-06-01 12:54:02, 22
    220,2017-06-01 12:54:05, 24
    221,2017-06-01 12:54:08, 21
    222,2017-06-01 12:54:11, 21
    223,2017-06-01 12:54:14, 20
    224,2017-06-01 12:54:17, 18
    225,2017-06-01 12:54:20, 18
    226,2017-06-01 12:54:23, 19
    227,2017-06-01 12:54:26, 19
    228,2017-06-01 12:54:29, 20
    229,2017-06-01 12:54:32, 19
    230,2017-06-01 12:54:35, 16
    231,2017-06-01 12:54:38, 15
    232,2017-06-01 12:54:41, 15
    233,2017-06-01 12:54:44, 15
    234,2017-06-01 12:54:47, 15
    235,2017-06-01 12:54:50, 16
    236,2017-06-01 12:54:53, 15
    237,2017-06-01 12:54:56, 14
    238,2017-06-01 12:54:59, 14
    239,2017-06-01 12:55:02, 14
    240,2017-06-01 12:55:05, 11
    241,2017-06-01 12:55:08, 11
    242,2017-06-01 12:55:11, 13
    243,2017-06-01 12:55:14, 13
    244,2017-06-01 12:55:17, 13
    245,2017-06-01 12:55:20, 14
    246,2017-06-01 12:55:23, 15
    247,2017-06-01 12:55:26, 17
    248,2017-06-01 12:55:29, 16
    249,2017-06-01 12:55:32, 16
    250,2017-06-01 12:55:35, 16
    251,2017-06-01 12:55:38, 18
    252,2017-06-01 12:55:41, 19
    253,2017-06-01 12:55:44, 18
    254,2017-06-01 12:55:47, 20
    255,2017-06-01 12:55:50, 23
    256,2017-06-01 12:55:53, 23
    257,2017-06-01 12:55:56, 24
    258,2017-06-01 12:55:59, 23
    259,2017-06-01 12:56:02, 22
    260,2017-06-01 12:56:05, 25
    261,2017-06-01 12:56:08, 25
    262,2017-06-01 12:56:11, 23
    263,2017-06-01 12:56:14, 23
    264,2017-06-01 12:56:17, 23
    265,2017-06-01 12:56:20, 22
    266,2017-06-01 12:56:23, 20
    267,2017-06-01 12:56:26, 18
    268,2017-06-01 12:56:29, 18
    269,2017-06-01 12:56:32, 18
    270,2017-06-01 12:56:35, 17
    271,2017-06-01 12:56:38, 16
    272,2017-06-01 12:56:41, 15
    273,2017-06-01 12:56:44, 15
    274,2017-06-01 12:56:47, 14
    275,2017-06-01 12:56:50, 13
    276,2017-06-01 12:56:53, 11
    277,2017-06-01 12:56:56, 10
    278,2017-06-01 12:56:59, 10
    279,2017-06-01 12:57:02, 12
    280,2017-06-01 12:57:05, 15
    281,2017-06-01 12:57:08, 13
    282,2017-06-01 12:57:11, 14
    283,2017-06-01 12:57:14, 15
    284,2017-06-01 12:57:17, 14
    285,2017-06-01 12:57:20, 14
    286,2017-06-01 12:57:23, 17
    287,2017-06-01 12:57:26, 18
    288,2017-06-01 12:57:29, 19
    289,2017-06-01 12:57:32, 20
    290,2017-06-01 12:57:35, 20
    291,2017-06-01 12:57:38, 20
    292,2017-06-01 12:57:41, 20
    293,2017-06-01 12:57:44, 20
    294,2017-06-01 12:57:47, 21
    295,2017-06-01 12:57:50, 21
    296,2017-06-01 12:57:53, 24
    297,2017-06-01 12:57:56, 24
    298,2017-06-01 12:57:59, 24
    299,2017-06-01 12:58:02, 24
    300,2017-06-01 12:58:05, 22
    301,2017-06-01 12:58:08, 23
    302,2017-06-01 12:58:11, 22
    303,2017-06-01 12:58:14, 21
    304,2017-06-01 12:58:17, 20
    305,2017-06-01 12:58:20, 20
    306,2017-06-01 12:58:23, 17
    307,2017-06-01 12:58:26, 18
    308,2017-06-01 12:58:29, 17
    309,2017-06-01 12:58:32, 17
    310,2017-06-01 12:58:35, 18
    311,2017-06-01 12:58:38, 18
    312,2017-06-01 12:58:41, 19
    313,2017-06-01 12:58:44, 18
    314,2017-06-01 12:58:47, 16
    315,2017-06-01 12:58:50, 16
    316,2017-06-01 12:58:53, 15
    317,2017-06-01 12:58:56, 15
    318,2017-06-01 12:58:59, 17
    319,2017-06-01 12:59:02, 15
    320,2017-06-01 12:59:05, 15
    321,2017-06-01 12:59:08, 18
    322,2017-06-01 12:59:11, 20
    323,2017-06-01 12:59:14, 21
    324,2017-06-01 12:59:17, 21
    325,2017-06-01 12:59:20, 21
    326,2017-06-01 12:59:23, 22
    327,2017-06-01 12:59:26, 21
    328,2017-06-01 12:59:29, 24
    329,2017-06-01 12:59:32, 25
    330,2017-06-01 12:59:35, 26
    331,2017-06-01 12:59:38, 27
    332,2017-06-01 12:59:41, 29
    333,2017-06-01 12:59:44, 29
    334,2017-06-01 12:59:47, 32
    335,2017-06-01 12:59:50, 31
    336,2017-06-01 12:59:53, 31
    337,2017-06-01 12:59:56, 31
    338,2017-06-01 12:59:59, 29
    339,2017-06-01 13:00:02, 29
    340,2017-06-01 13:00:05, 27
    341,2017-06-01 13:00:08, 25
    342,2017-06-01 13:00:11, 25
    343,2017-06-01 13:00:14, 23
    344,2017-06-01 13:00:17, 23
    345,2017-06-01 13:00:20, 26
    346,2017-06-01 13:00:23, 26
    347,2017-06-01 13:00:26, 26
    348,2017-06-01 13:00:29, 23
    349,2017-06-01 13:00:32, 21
    350,2017-06-01 13:00:35, 20
    351,2017-06-01 13:00:38, 19
    352,2017-06-01 13:00:41, 16
    353,2017-06-01 13:00:44, 17
    354,2017-06-01 13:00:47, 14
    355,2017-06-01 13:00:50, 15
    356,2017-06-01 13:00:53, 13
    357,2017-06-01 13:00:56, 15
    358,2017-06-01 13:00:59, 17
    359,2017-06-01 13:01:02, 18
    360,2017-06-01 13:01:05, 21
    361,2017-06-01 13:01:08, 21
    362,2017-06-01 13:01:11, 19
    363,2017-06-01 13:01:14, 20
    364,2017-06-01 13:01:17, 20
    365,2017-06-01 13:01:20, 20
    366,2017-06-01 13:01:23, 22
    367,2017-06-01 13:01:26, 21
    368,2017-06-01 13:01:29, 21
    369,2017-06-01 13:01:32, 23
    370,2017-06-01 13:01:35, 24
    371,2017-06-01 13:01:38, 24
    372,2017-06-01 13:01:41, 24
    373,2017-06-01 13:01:44, 24
    374,2017-06-01 13:01:47, 25
    375,2017-06-01 13:01:50, 24
    376,2017-06-01 13:01:53, 26
    377,2017-06-01 13:01:56, 26
    378,2017-06-01 13:01:59, 26
    379,2017-06-01 13:02:02, 26
    380,2017-06-01 13:02:05, 23
    381,2017-06-01 13:02:08, 21
    382,2017-06-01 13:02:11, 22
    383,2017-06-01 13:02:14, 22
    384,2017-06-01 13:02:17, 23
    385,2017-06-01 13:02:20, 22
    386,2017-06-01 13:02:23, 21
    387,2017-06-01 13:02:26, 24
    388,2017-06-01 13:02:29, 25
    389,2017-06-01 13:02:32, 24
    390,2017-06-01 13:02:35, 22
    391,2017-06-01 13:02:38, 24
    392,2017-06-01 13:02:41, 23
    393,2017-06-01 13:02:44, 22
    394,2017-06-01 13:02:47, 23
    395,2017-06-01 13:02:50, 24
    396,2017-06-01 13:02:53, 22
    397,2017-06-01 13:02:56, 20
    398,2017-06-01 13:02:59, 18
    399,2017-06-01 13:03:02, 18
    400,2017-06-01 13:03:05, 19
    401,2017-06-01 13:03:08, 19
    402,2017-06-01 13:03:11, 23
    403,2017-06-01 13:03:14, 23
    404,2017-06-01 13:03:17, 21
    405,2017-06-01 13:03:20, 21
    406,2017-06-01 13:03:23, 19
    407,2017-06-01 13:03:26, 19
    408,2017-06-01 13:03:29, 16
    409,2017-06-01 13:03:32, 16
    410,2017-06-01 13:03:35, 16
    411,2017-06-01 13:03:38, 15
    412,2017-06-01 13:03:41, 16
    413,2017-06-01 13:03:44, 16
    414,2017-06-01 13:03:47, 14
    415,2017-06-01 13:03:50, 17
    416,2017-06-01 13:03:53, 17
