#HEADER,2017-06-01 09:15:25, Logfile newly created as 'background-darkness-CPS.log'
#LOGGING with cycle 1.0 sec, and mode 'CPS', using device 'GMC-300E Plus v4.20'
    164,2017-06-01 09:18:40, 0
    165,2017-06-01 09:18:41, 0
    166,2017-06-01 09:18:42, 60
    167,2017-06-01 09:18:43, 0
    168,2017-06-01 09:18:44, 0
    169,2017-06-01 09:18:45, 60
    170,2017-06-01 09:18:46, 60
    171,2017-06-01 09:18:47, 0
    172,2017-06-01 09:18:48, 60
    173,2017-06-01 09:18:49, 0
    174,2017-06-01 09:18:50, 0
    175,2017-06-01 09:18:51, 0
    176,2017-06-01 09:18:52, 0
    177,2017-06-01 09:18:53, 0
    178,2017-06-01 09:18:54, 0
    179,2017-06-01 09:18:55, 0
    180,2017-06-01 09:18:56, 0
    181,2017-06-01 09:18:57, 0
    182,2017-06-01 09:18:58, 0
    183,2017-06-01 09:18:59, 0
    184,2017-06-01 09:19:00, 0
    185,2017-06-01 09:19:01, 0
    186,2017-06-01 09:19:02, 60
    187,2017-06-01 09:19:03, 0
    188,2017-06-01 09:19:04, 60
    189,2017-06-01 09:19:05, 0
    190,2017-06-01 09:19:06, 60
    191,2017-06-01 09:19:07, 0
    192,2017-06-01 09:19:08, 0
    193,2017-06-01 09:19:09, 60
    194,2017-06-01 09:19:10, 0
    195,2017-06-01 09:19:11, 0
    196,2017-06-01 09:19:12, 60
    197,2017-06-01 09:19:13, 0
    198,2017-06-01 09:19:14, 0
    199,2017-06-01 09:19:15, 60
    200,2017-06-01 09:19:16, 120
    201,2017-06-01 09:19:17, 0
    202,2017-06-01 09:19:18, 0
    203,2017-06-01 09:19:19, 0
    204,2017-06-01 09:19:20, 0
    205,2017-06-01 09:19:21, 0
    206,2017-06-01 09:19:22, 0
    207,2017-06-01 09:19:23, 0
    208,2017-06-01 09:19:24, 0
    209,2017-06-01 09:19:25, 0
    210,2017-06-01 09:19:26, 0
    211,2017-06-01 09:19:27, 60
    212,2017-06-01 09:19:28, 0
    213,2017-06-01 09:19:29, 60
    214,2017-06-01 09:19:30, 60
    215,2017-06-01 09:19:31, 0
    216,2017-06-01 09:19:32, 0
    217,2017-06-01 09:19:33, 0
    218,2017-06-01 09:19:34, 60
    219,2017-06-01 09:19:35, 0
    220,2017-06-01 09:19:36, 0
    221,2017-06-01 09:19:37, 0
    222,2017-06-01 09:19:38, 0
    223,2017-06-01 09:19:39, 120
    224,2017-06-01 09:19:40, 0
    225,2017-06-01 09:19:41, 0
    226,2017-06-01 09:19:42, 0
    227,2017-06-01 09:19:43, 0
    228,2017-06-01 09:19:44, 0
    229,2017-06-01 09:19:45, 0
    230,2017-06-01 09:19:46, 0
    231,2017-06-01 09:19:47, 0
    232,2017-06-01 09:19:48, 60
    233,2017-06-01 09:19:49, 0
    234,2017-06-01 09:19:50, 0
    235,2017-06-01 09:19:51, 0
    236,2017-06-01 09:19:52, 0
    237,2017-06-01 09:19:53, 0
    238,2017-06-01 09:19:54, 0
    239,2017-06-01 09:19:55, 60
    240,2017-06-01 09:19:56, 60
    241,2017-06-01 09:19:57, 0
    242,2017-06-01 09:19:58, 0
    243,2017-06-01 09:19:59, 0
    244,2017-06-01 09:20:00, 0
    245,2017-06-01 09:20:01, 0
    246,2017-06-01 09:20:02, 0
    247,2017-06-01 09:20:03, 0
    248,2017-06-01 09:20:04, 0
    249,2017-06-01 09:20:05, 0
    250,2017-06-01 09:20:06, 0
    251,2017-06-01 09:20:07, 120
    252,2017-06-01 09:20:08, 0
    253,2017-06-01 09:20:09, 60
    254,2017-06-01 09:20:10, 60
    255,2017-06-01 09:20:11, 60
    256,2017-06-01 09:20:12, 0
    257,2017-06-01 09:20:13, 60
    258,2017-06-01 09:20:14, 0
    259,2017-06-01 09:20:15, 0
    260,2017-06-01 09:20:16, 0
    261,2017-06-01 09:20:17, 0
    262,2017-06-01 09:20:18, 60
    263,2017-06-01 09:20:19, 0
    264,2017-06-01 09:20:20, 0
    265,2017-06-01 09:20:21, 0
    266,2017-06-01 09:20:22, 120
    267,2017-06-01 09:20:23, 60
    268,2017-06-01 09:20:24, 0
    269,2017-06-01 09:20:25, 60
    270,2017-06-01 09:20:26, 0
    271,2017-06-01 09:20:27, 60
    272,2017-06-01 09:20:28, 0
    273,2017-06-01 09:20:29, 0
    274,2017-06-01 09:20:30, 0
    275,2017-06-01 09:20:31, 0
    276,2017-06-01 09:20:32, 0
    277,2017-06-01 09:20:33, 60
    278,2017-06-01 09:20:34, 0
    279,2017-06-01 09:20:35, 0
    280,2017-06-01 09:20:36, 60
    281,2017-06-01 09:20:37, 0
    282,2017-06-01 09:20:38, 60
    283,2017-06-01 09:20:39, 0
    284,2017-06-01 09:20:40, 0
    285,2017-06-01 09:20:41, 60
    286,2017-06-01 09:20:42, 0
    287,2017-06-01 09:20:43, 0
    288,2017-06-01 09:20:44, 0
    289,2017-06-01 09:20:45, 0
    290,2017-06-01 09:20:46, 0
    291,2017-06-01 09:20:47, 0
    292,2017-06-01 09:20:48, 120
    293,2017-06-01 09:20:49, 0
    294,2017-06-01 09:20:50, 0
    295,2017-06-01 09:20:51, 0
    296,2017-06-01 09:20:52, 0
    297,2017-06-01 09:20:53, 0
    298,2017-06-01 09:20:54, 0
    299,2017-06-01 09:20:55, 0
    300,2017-06-01 09:20:56, 0
    301,2017-06-01 09:20:57, 60
    302,2017-06-01 09:20:58, 0
    303,2017-06-01 09:20:59, 0
    304,2017-06-01 09:21:00, 0
    305,2017-06-01 09:21:01, 0
    306,2017-06-01 09:21:02, 60
    307,2017-06-01 09:21:03, 60
    308,2017-06-01 09:21:04, 0
    309,2017-06-01 09:21:05, 0
    310,2017-06-01 09:21:06, 0
    311,2017-06-01 09:21:07, 60
    312,2017-06-01 09:21:08, 0
    313,2017-06-01 09:21:09, 0
    314,2017-06-01 09:21:10, 0
    315,2017-06-01 09:21:11, 0
    316,2017-06-01 09:21:12, 0
    317,2017-06-01 09:21:13, 0
    318,2017-06-01 09:21:14, 0
    319,2017-06-01 09:21:15, 0
    320,2017-06-01 09:21:16, 0
    321,2017-06-01 09:21:17, 0
    322,2017-06-01 09:21:18, 60
    323,2017-06-01 09:21:19, 0
    324,2017-06-01 09:21:20, 0
    325,2017-06-01 09:21:21, 0
    326,2017-06-01 09:21:22, 60
    327,2017-06-01 09:21:23, 0
    328,2017-06-01 09:21:24, 60
    329,2017-06-01 09:21:25, 0
    330,2017-06-01 09:21:26, 0
    331,2017-06-01 09:21:27, 0
    332,2017-06-01 09:21:28, 0
    333,2017-06-01 09:21:29, 60
    334,2017-06-01 09:21:30, 60
    335,2017-06-01 09:21:31, 0
    336,2017-06-01 09:21:32, 0
    337,2017-06-01 09:21:33, 60
    338,2017-06-01 09:21:34, 120
    339,2017-06-01 09:21:35, 60
    340,2017-06-01 09:21:36, 0
    341,2017-06-01 09:21:37, 0
    342,2017-06-01 09:21:38, 60
    343,2017-06-01 09:21:39, 0
    344,2017-06-01 09:21:40, 0
    345,2017-06-01 09:21:41, 0
    346,2017-06-01 09:21:42, 0
    347,2017-06-01 09:21:43, 60
    348,2017-06-01 09:21:44, 60
    349,2017-06-01 09:21:45, 0
    350,2017-06-01 09:21:46, 0
    351,2017-06-01 09:21:47, 0
    352,2017-06-01 09:21:48, 60
    353,2017-06-01 09:21:49, 60
    354,2017-06-01 09:21:50, 60
    355,2017-06-01 09:21:51, 60
    356,2017-06-01 09:21:52, 0
    357,2017-06-01 09:21:53, 0
    358,2017-06-01 09:21:54, 0
    359,2017-06-01 09:21:55, 0
    360,2017-06-01 09:21:56, 60
    361,2017-06-01 09:21:57, 0
    362,2017-06-01 09:21:58, 0
    363,2017-06-01 09:21:59, 120
    364,2017-06-01 09:22:00, 0
    365,2017-06-01 09:22:01, 0
    366,2017-06-01 09:22:02, 60
    367,2017-06-01 09:22:03, 60
    368,2017-06-01 09:22:04, 0
    369,2017-06-01 09:22:05, 0
    370,2017-06-01 09:22:06, 60
    371,2017-06-01 09:22:07, 0
    372,2017-06-01 09:22:08, 0
    373,2017-06-01 09:22:09, 0
    374,2017-06-01 09:22:10, 0
    375,2017-06-01 09:22:11, 0
    376,2017-06-01 09:22:12, 60
    377,2017-06-01 09:22:13, 0
    378,2017-06-01 09:22:14, 0
    379,2017-06-01 09:22:15, 0
    380,2017-06-01 09:22:16, 60
    381,2017-06-01 09:22:17, 0
    382,2017-06-01 09:22:18, 0
    383,2017-06-01 09:22:19, 0
    384,2017-06-01 09:22:20, 0
    385,2017-06-01 09:22:21, 0
    386,2017-06-01 09:22:22, 0
    387,2017-06-01 09:22:23, 0
    388,2017-06-01 09:22:24, 120
    389,2017-06-01 09:22:25, 0
    390,2017-06-01 09:22:26, 0
    391,2017-06-01 09:22:27, 0
    392,2017-06-01 09:22:28, 0
    393,2017-06-01 09:22:29, 0
    394,2017-06-01 09:22:30, 0
    395,2017-06-01 09:22:31, 0
    396,2017-06-01 09:22:32, 60
    397,2017-06-01 09:22:33, 60
    398,2017-06-01 09:22:34, 0
    399,2017-06-01 09:22:35, 0
    400,2017-06-01 09:22:36, 0
    401,2017-06-01 09:22:37, 60
    402,2017-06-01 09:22:38, 0
    403,2017-06-01 09:22:39, 0
    404,2017-06-01 09:22:40, 0
    405,2017-06-01 09:22:41, 0
    406,2017-06-01 09:22:42, 0
    407,2017-06-01 09:22:43, 0
    408,2017-06-01 09:22:44, 0
    409,2017-06-01 09:22:45, 60
    410,2017-06-01 09:22:46, 0
    411,2017-06-01 09:22:47, 0
    412,2017-06-01 09:22:48, 0
    413,2017-06-01 09:22:49, 0
    414,2017-06-01 09:22:50, 0
    415,2017-06-01 09:22:51, 0
    416,2017-06-01 09:22:52, 0
    417,2017-06-01 09:22:53, 0
    418,2017-06-01 09:22:54, 0
    419,2017-06-01 09:22:55, 0
    420,2017-06-01 09:22:56, 0
    421,2017-06-01 09:22:57, 180
    422,2017-06-01 09:22:58, 0
    423,2017-06-01 09:22:59, 0
    424,2017-06-01 09:23:00, 60
    425,2017-06-01 09:23:01, 0
    426,2017-06-01 09:23:02, 0
    427,2017-06-01 09:23:03, 60
    428,2017-06-01 09:23:04, 0
    429,2017-06-01 09:23:05, 0
    430,2017-06-01 09:23:06, 0
    431,2017-06-01 09:23:07, 0
    432,2017-06-01 09:23:08, 60
    433,2017-06-01 09:23:09, 0
    434,2017-06-01 09:23:10, 0
    435,2017-06-01 09:23:11, 60
    436,2017-06-01 09:23:12, 0
    437,2017-06-01 09:23:13, 0
    438,2017-06-01 09:23:14, 0
    439,2017-06-01 09:23:15, 0
    440,2017-06-01 09:23:16, 0
    441,2017-06-01 09:23:17, 60
    442,2017-06-01 09:23:18, 0
    443,2017-06-01 09:23:19, 0
    444,2017-06-01 09:23:20, 0
    445,2017-06-01 09:23:21, 0
    446,2017-06-01 09:23:22, 0
    447,2017-06-01 09:23:23, 0
    448,2017-06-01 09:23:24, 0
    449,2017-06-01 09:23:25, 0
    450,2017-06-01 09:23:26, 0
    451,2017-06-01 09:23:27, 60
    452,2017-06-01 09:23:28, 0
    453,2017-06-01 09:23:29, 0
    454,2017-06-01 09:23:30, 60
    455,2017-06-01 09:23:31, 60
    456,2017-06-01 09:23:32, 0
    457,2017-06-01 09:23:33, 0
    458,2017-06-01 09:23:34, 0
    459,2017-06-01 09:23:35, 0
    460,2017-06-01 09:23:36, 60
    461,2017-06-01 09:23:37, 0
    462,2017-06-01 09:23:38, 0
    463,2017-06-01 09:23:39, 0
    464,2017-06-01 09:23:40, 0
    465,2017-06-01 09:23:41, 0
    466,2017-06-01 09:23:42, 0
    467,2017-06-01 09:23:43, 0
    468,2017-06-01 09:23:44, 0
    469,2017-06-01 09:23:45, 0
    470,2017-06-01 09:23:46, 0
    471,2017-06-01 09:23:47, 0
    472,2017-06-01 09:23:48, 0
    473,2017-06-01 09:23:49, 60
    474,2017-06-01 09:23:50, 60
    475,2017-06-01 09:23:51, 0
    476,2017-06-01 09:23:52, 0
    477,2017-06-01 09:23:53, 0
    478,2017-06-01 09:23:54, 60
    479,2017-06-01 09:23:55, 0
    480,2017-06-01 09:23:56, 60
    481,2017-06-01 09:23:57, 0
    482,2017-06-01 09:23:58, 0
    483,2017-06-01 09:23:59, 0
    484,2017-06-01 09:24:00, 0
    485,2017-06-01 09:24:01, 0
    486,2017-06-01 09:24:02, 0
    487,2017-06-01 09:24:03, 0
    488,2017-06-01 09:24:04, 60
    489,2017-06-01 09:24:05, 60
    490,2017-06-01 09:24:06, 0
    491,2017-06-01 09:24:07, 0
    492,2017-06-01 09:24:08, 60
    493,2017-06-01 09:24:09, 60
    494,2017-06-01 09:24:10, 0
    495,2017-06-01 09:24:11, 0
    496,2017-06-01 09:24:12, 0
    497,2017-06-01 09:24:13, 0
    498,2017-06-01 09:24:14, 0
    499,2017-06-01 09:24:15, 0
    500,2017-06-01 09:24:16, 120
    501,2017-06-01 09:24:17, 60
    502,2017-06-01 09:24:18, 0
    503,2017-06-01 09:24:19, 0
    504,2017-06-01 09:24:20, 0
    505,2017-06-01 09:24:21, 0
    506,2017-06-01 09:24:22, 0
    507,2017-06-01 09:24:23, 0
    508,2017-06-01 09:24:24, 60
    509,2017-06-01 09:24:25, 0
    510,2017-06-01 09:24:26, 0
    511,2017-06-01 09:24:27, 0
    512,2017-06-01 09:24:28, 60
    513,2017-06-01 09:24:29, 60
    514,2017-06-01 09:24:30, 0
    515,2017-06-01 09:24:31, 60
    516,2017-06-01 09:24:32, 0
    517,2017-06-01 09:24:33, 0
    518,2017-06-01 09:24:34, 60
    519,2017-06-01 09:24:35, 0
    520,2017-06-01 09:24:36, 0
    521,2017-06-01 09:24:37, 60
    522,2017-06-01 09:24:38, 0
    523,2017-06-01 09:24:39, 0
    524,2017-06-01 09:24:40, 0
    525,2017-06-01 09:24:41, 0
    526,2017-06-01 09:24:42, 0
    527,2017-06-01 09:24:43, 60
    528,2017-06-01 09:24:44, 0
    529,2017-06-01 09:24:45, 0
    530,2017-06-01 09:24:46, 0
    531,2017-06-01 09:24:47, 60
    532,2017-06-01 09:24:48, 0
    533,2017-06-01 09:24:49, 0
    534,2017-06-01 09:24:50, 0
    535,2017-06-01 09:24:51, 0
    536,2017-06-01 09:24:52, 60
    537,2017-06-01 09:24:53, 60
    538,2017-06-01 09:24:54, 0
    539,2017-06-01 09:24:55, 0
    540,2017-06-01 09:24:56, 0
    541,2017-06-01 09:24:57, 0
    542,2017-06-01 09:24:58, 0
    543,2017-06-01 09:24:59, 0
    544,2017-06-01 09:25:00, 0
    545,2017-06-01 09:25:01, 60
    546,2017-06-01 09:25:02, 0
    547,2017-06-01 09:25:03, 120
    548,2017-06-01 09:25:04, 0
    549,2017-06-01 09:25:05, 0
    550,2017-06-01 09:25:06, 0
    551,2017-06-01 09:25:07, 120
    552,2017-06-01 09:25:08, 60
    553,2017-06-01 09:25:09, 0
    554,2017-06-01 09:25:10, 60
    555,2017-06-01 09:25:11, 60
    556,2017-06-01 09:25:12, 0
    557,2017-06-01 09:25:13, 0
    558,2017-06-01 09:25:14, 0
    559,2017-06-01 09:25:15, 0
    560,2017-06-01 09:25:16, 0
    561,2017-06-01 09:25:17, 0
    562,2017-06-01 09:25:18, 0
    563,2017-06-01 09:25:19, 60
    564,2017-06-01 09:25:20, 0
    565,2017-06-01 09:25:21, 60
    566,2017-06-01 09:25:22, 0
    567,2017-06-01 09:25:23, 0
    568,2017-06-01 09:25:24, 0
    569,2017-06-01 09:25:25, 0
    570,2017-06-01 09:25:26, 0
    571,2017-06-01 09:25:27, 60
    572,2017-06-01 09:25:28, 0
    573,2017-06-01 09:25:29, 0
    574,2017-06-01 09:25:30, 0
    575,2017-06-01 09:25:31, 0
    576,2017-06-01 09:25:32, 0
    577,2017-06-01 09:25:33, 0
    578,2017-06-01 09:25:34, 0
    579,2017-06-01 09:25:35, 60
    580,2017-06-01 09:25:36, 60
    581,2017-06-01 09:25:37, 0
    582,2017-06-01 09:25:38, 0
    583,2017-06-01 09:25:39, 0
    584,2017-06-01 09:25:40, 0
    585,2017-06-01 09:25:41, 0
    586,2017-06-01 09:25:42, 0
    587,2017-06-01 09:25:43, 120
    588,2017-06-01 09:25:44, 0
    589,2017-06-01 09:25:45, 60
    590,2017-06-01 09:25:46, 0
    591,2017-06-01 09:25:47, 0
    592,2017-06-01 09:25:48, 0
    593,2017-06-01 09:25:49, 0
    594,2017-06-01 09:25:50, 0
    595,2017-06-01 09:25:51, 60
    596,2017-06-01 09:25:52, 60
    597,2017-06-01 09:25:53, 0
    598,2017-06-01 09:25:54, 60
    599,2017-06-01 09:25:55, 0
    600,2017-06-01 09:25:56, 60
    601,2017-06-01 09:25:57, 60
    602,2017-06-01 09:25:58, 60
    603,2017-06-01 09:25:59, 0
    604,2017-06-01 09:26:00, 0
    605,2017-06-01 09:26:01, 0
    606,2017-06-01 09:26:02, 0
    607,2017-06-01 09:26:03, 60
    608,2017-06-01 09:26:04, 60
    609,2017-06-01 09:26:05, 0
    610,2017-06-01 09:26:06, 60
    611,2017-06-01 09:26:07, 0
    612,2017-06-01 09:26:08, 0
    613,2017-06-01 09:26:09, 0
    614,2017-06-01 09:26:10, 0
    615,2017-06-01 09:26:11, 0
    616,2017-06-01 09:26:12, 0
    617,2017-06-01 09:26:13, 60
    618,2017-06-01 09:26:14, 60
    619,2017-06-01 09:26:15, 0
    620,2017-06-01 09:26:16, 120
    621,2017-06-01 09:26:17, 0
    622,2017-06-01 09:26:18, 0
    623,2017-06-01 09:26:19, 60
    624,2017-06-01 09:26:20, 0
    625,2017-06-01 09:26:21, 60
    626,2017-06-01 09:26:22, 0
    627,2017-06-01 09:26:23, 0
    628,2017-06-01 09:26:24, 0
    629,2017-06-01 09:26:25, 60
    630,2017-06-01 09:26:26, 0
    631,2017-06-01 09:26:27, 60
    632,2017-06-01 09:26:28, 60
    633,2017-06-01 09:26:29, 0
    634,2017-06-01 09:26:30, 0
    635,2017-06-01 09:26:31, 0
    636,2017-06-01 09:26:32, 0
    637,2017-06-01 09:26:33, 0
    638,2017-06-01 09:26:34, 0
    639,2017-06-01 09:26:35, 0
    640,2017-06-01 09:26:36, 0
    641,2017-06-01 09:26:37, 0
    642,2017-06-01 09:26:38, 0
    643,2017-06-01 09:26:39, 60
    644,2017-06-01 09:26:40, 0
    645,2017-06-01 09:26:41, 0
    646,2017-06-01 09:26:42, 60
    647,2017-06-01 09:26:43, 60
    648,2017-06-01 09:26:44, 60
    649,2017-06-01 09:26:45, 0
    650,2017-06-01 09:26:46, 120
    651,2017-06-01 09:26:47, 0
    652,2017-06-01 09:26:48, 0
    653,2017-06-01 09:26:49, 0
    654,2017-06-01 09:26:50, 0
    655,2017-06-01 09:26:51, 60
    656,2017-06-01 09:26:52, 0
    657,2017-06-01 09:26:53, 0
    658,2017-06-01 09:26:54, 0
    659,2017-06-01 09:26:55, 0
    660,2017-06-01 09:26:56, 0
    661,2017-06-01 09:26:57, 0
    662,2017-06-01 09:26:58, 0
    663,2017-06-01 09:26:59, 0
    664,2017-06-01 09:27:00, 0
    665,2017-06-01 09:27:01, 0
    666,2017-06-01 09:27:02, 60
    667,2017-06-01 09:27:03, 0
    668,2017-06-01 09:27:04, 60
    669,2017-06-01 09:27:05, 0
    670,2017-06-01 09:27:06, 0
    671,2017-06-01 09:27:07, 0
    672,2017-06-01 09:27:08, 0
    673,2017-06-01 09:27:09, 0
    674,2017-06-01 09:27:10, 0
    675,2017-06-01 09:27:11, 60
    676,2017-06-01 09:27:12, 60
    677,2017-06-01 09:27:13, 0
    678,2017-06-01 09:27:14, 0
    679,2017-06-01 09:27:15, 60
    680,2017-06-01 09:27:16, 0
    681,2017-06-01 09:27:17, 0
    682,2017-06-01 09:27:18, 0
    683,2017-06-01 09:27:19, 120
    684,2017-06-01 09:27:20, 60
    685,2017-06-01 09:27:21, 0
    686,2017-06-01 09:27:22, 0
    687,2017-06-01 09:27:23, 0
    688,2017-06-01 09:27:24, 0
    689,2017-06-01 09:27:25, 0
    690,2017-06-01 09:27:26, 0
    691,2017-06-01 09:27:27, 0
    692,2017-06-01 09:27:28, 0
    693,2017-06-01 09:27:29, 0
    694,2017-06-01 09:27:30, 0
